"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Bhutan"," 2013","36.27 [27.89-46.06]","39.27 [30.12-49.93]","33.11 [25.3-42.15]","484 [372-615]","268 [206-341]","216 [165-275]"
"Bhutan"," 2012","38.05 [29.94-47.13]","41.14 [32.37-51.02]","34.76 [27.29-43.27]","513 [404-636]","284 [223-352]","229 [180-285]"
"Bhutan"," 2011","40.06 [32.21-48.63]","43.24 [34.84-52.66]","36.7 [29.52-44.8]","549 [441-666]","304 [244-369]","245 [197-300]"
"Bhutan"," 2010","42.36 [35.09-50.58]","45.66 [37.6-54.63]","38.94 [32.07-46.76]","588 [487-702]","324 [267-388]","264 [217-317]"
"Bhutan"," 2009","44.97 [38.17-52.87]","48.4 [40.86-57.03]","41.39 [34.87-48.86]","634 [538-745]","349 [294-411]","285 [240-336]"
"Bhutan"," 2008","47.82 [41.37-55.34]","51.35 [44.27-59.59]","44.12 [37.91-51.24]","681 [589-788]","374 [323-434]","307 [264-356]"
"Bhutan"," 2007","50.88 [44.67-57.98]","54.52 [47.65-62.34]","47.03 [41.1-53.88]","727 [638-828]","399 [348-455]","328 [287-376]"
"Bhutan"," 2006","54.13 [48.08-60.89]","57.83 [51.14-65.42]","50.2 [44.38-56.73]","777 [690-874]","425 [376-480]","352 [311-398]"
"Bhutan"," 2005","57.56 [51.59-64.19]","61.31 [54.64-68.72]","53.57 [47.75-60.01]","830 [744-925]","453 [403-507]","377 [337-423]"
"Bhutan"," 2004","61.16 [55.14-67.85]","64.97 [58.22-72.32]","57.14 [51.14-63.77]","874 [789-970]","475 [426-529]","399 [357-445]"
"Bhutan"," 2003","64.94 [58.66-71.9]","68.75 [61.87-76.45]","60.86 [54.64-67.73]","929 [839-1 029]","503 [453-559]","426 [382-473]"
"Bhutan"," 2002","68.82 [62.29-76.3]","72.65 [65.51-80.9]","64.76 [58.3-72.14]","1 003 [908-1 112]","542 [488-603]","461 [415-514]"
"Bhutan"," 2001","72.89 [65.96-80.86]","76.72 [69.2-85.55]","68.78 [61.97-76.93]","1 083 [980-1 201]","584 [526-650]","499 [450-559]"
"Bhutan"," 2000","77.1 [69.82-85.65]","80.94 [73.05-90.14]","72.97 [65.8-81.68]","1 171 [1 060-1 301]","629 [567-700]","542 [489-606]"
"Bhutan"," 1999","81.41 [73.71-90.6]","85.23 [76.92-95.22]","77.36 [69.67-86.65]","1 266 [1 147-1 409]","678 [612-757]","588 [530-658]"
"Bhutan"," 1998","85.86 [77.74-95.87]","89.82 [80.88-100.43]","81.85 [73.67-91.78]","1 370 [1 241-1 530]","732 [660-819]","638 [575-716]"
"Bhutan"," 1997","90.54 [81.76-101.34]","94.53 [85-106.02]","86.43 [77.75-97.3]","1 491 [1 346-1 668]","795 [715-892]","696 [626-783]"
"Bhutan"," 1996","95.29 [85.95-107.14]","99.39 [89.15-111.85]","91.14 [81.89-103.08]","1 623 [1 464-1 825]","864 [776-973]","759 [683-859]"
"Bhutan"," 1995","100.21 [90.26-113.12]","104.31 [93.4-118.01]","95.95 [86-108.89]","1 766 [1 590-1 992]","939 [840-1 062]","827 [741-939]"
"Bhutan"," 1994","105.19 [94.49-119.29]","109.42 [97.69-124.22]","100.84 [90.13-114.99]","1 919 [1 723-2 175]","1 019 [910-1 157]","900 [805-1 026]"
"Bhutan"," 1993","110.31 [98.76-125.66]","114.67 [102.02-130.5]","105.87 [94.33-121.23]","2 131 [1 910-2 424]","1 131 [1 008-1 287]","1 000 [892-1 144]"
"Bhutan"," 1992","115.64 [103.12-132.32]","119.95 [106.58-137.24]","111.08 [98.63-127.69]","2 339 [2 089-2 671]","1 241 [1 105-1 417]","1 098 [976-1 259]"
"Bhutan"," 1991","121.04 [107.57-138.71]","125.43 [110.96-144.03]","116.38 [102.84-134.28]","2 456 [2 186-2 809]","1 303 [1 155-1 491]","1 153 [1 021-1 328]"
"Bhutan"," 1990","126.67 [112.25-145.72]","131.13 [115.72-150.84]","121.96 [107.45-140.96]","2 555 [2 268-2 931]","1 354 [1 196-1 552]","1 201 [1 060-1 385]"
"Bhutan"," 1989","132.5 [116.89-152.65]","137.07 [120.34-157.99]","127.69 [112.05-147.93]","2 645 [2 338-3 040]","1 400 [1 232-1 611]","1 245 [1 095-1 440]"
"Bhutan"," 1988","138.46 [121.65-159.72]","143.18 [125.55-165.3]","133.67 [116.75-155.03]","2 730 [2 404-3 142]","1 444 [1 269-1 663]","1 286 [1 127-1 488]"
"Bhutan"," 1987","144.61 [126.66-167.39]","149.49 [130.57-173.13]","139.78 [121.69-162.48]","2 813 [2 468-3 247]","1 486 [1 302-1 719]","1 327 [1 159-1 539]"
"Bhutan"," 1986","151.17 [131.8-175.31]","156.01 [135.78-181.4]","146.18 [126.76-170.34]","2 893 [2 529-3 346]","1 527 [1 334-1 770]","1 366 [1 188-1 588]"
"Bhutan"," 1985","157.93 [137.16-183.36]","162.79 [141.06-189.2]","152.8 [131.98-178.51]","2 972 [2 586-3 437]","1 568 [1 362-1 817]","1 404 [1 215-1 635]"
"Bhutan"," 1984","164.78 [142.56-192.01]","169.68 [146.52-197.79]","159.57 [137.49-186.97]","3 048 [2 644-3 539]","1 607 [1 391-1 865]","1 441 [1 244-1 683]"
"Bhutan"," 1983","171.78 [148.11-200.75]","176.63 [152.09-206.94]","166.41 [143.02-195.52]","3 119 [2 698-3 634]","1 642 [1 417-1 915]","1 477 [1 271-1 727]"
"Bhutan"," 1982","178.97 [153.69-210]","184.08 [157.79-216.67]","173.55 [148.39-204.45]","3 188 [2 746-3 726]","1 679 [1 442-1 967]","1 509 [1 295-1 772]"
"Bhutan"," 1981","186.24 [159.15-219.54]","191.68 [163.25-226.06]","180.53 [153.62-213.91]","3 250 [2 788-3 815]","1 712 [1 464-2 010]","1 538 [1 315-1 814]"
"Bhutan"," 1980","193.75 [164.55-229.42]","199.07 [168.5-235.98]","188 [158.72-223.43]","3 308 [2 818-3 900]","1 740 [1 478-2 052]","1 568 [1 327-1 853]"
