"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Armenia"," 2000","30.66 [27.57-33.76]","33.72 [30.08-37.36]","27.41 [24.46-30.53]","1 289 [1 158-1 419]","759 [681-846]","530 [474-592]"
"Armenia"," 1999","32.19 [29-35.44]","35.41 [31.66-39.24]","28.79 [25.73-32.09]","1 443 [1 299-1 589]","848 [762-944]","595 [534-666]"
"Armenia"," 1998","33.82 [30.51-37.22]","37.14 [33.33-41.18]","30.23 [27.14-33.66]","1 618 [1 459-1 781]","946 [851-1 051]","672 [605-751]"
"Armenia"," 1997","35.47 [32.07-39.08]","38.96 [35-43.16]","31.75 [28.56-35.34]","1 815 [1 640-2 002]","1 054 [950-1 171]","761 [686-851]"
"Armenia"," 1996","37.21 [33.7-40.95]","40.86 [36.79-45.33]","33.28 [29.95-37]","2 035 [1 842-2 242]","1 175 [1 059-1 306]","860 [775-959]"
"Armenia"," 1995","39.02 [35.37-42.99]","42.85 [38.65-47.53]","34.87 [31.42-38.82]","2 311 [2 092-2 549]","1 326 [1 197-1 474]","985 [887-1 097]"
"Armenia"," 1994","40.89 [37.08-45.04]","44.91 [40.6-49.87]","36.56 [32.95-40.67]","2 664 [2 414-2 938]","1 520 [1 373-1 689]","1 144 [1 030-1 274]"
"Armenia"," 1993","42.83 [38.87-47.15]","47.09 [42.53-52.22]","38.3 [34.47-42.55]","3 131 [2 841-3 449]","1 778 [1 607-1 972]","1 353 [1 218-1 504]"
"Armenia"," 1992","44.82 [40.7-49.32]","49.29 [44.58-54.6]","40.09 [36.09-44.5]","3 594 [3 265-3 953]","2 034 [1 841-2 252]","1 560 [1 405-1 731]"
"Armenia"," 1991","46.88 [42.52-51.55]","51.46 [46.52-57.07]","41.99 [37.82-46.52]","3 930 [3 567-4 319]","2 219 [2 006-2 458]","1 711 [1 541-1 894]"
"Armenia"," 1990","48.93 [44.44-53.88]","53.73 [48.49-59.48]","43.85 [39.5-48.68]","4 096 [3 722-4 508]","2 313 [2 090-2 560]","1 783 [1 607-1 977]"
"Armenia"," 1989","51.06 [46.36-56.27]","55.97 [50.5-62.05]","45.86 [41.32-50.82]","4 210 [3 825-4 637]","2 375 [2 145-2 632]","1 835 [1 655-2 032]"
"Armenia"," 1988","92.68 [84.01-102.29]","97.8 [88.2-108.56]","87.27 [78.6-96.99]","7 902 [7 158-8 727]","4 291 [3 868-4 767]","3 611 [3 250-4 016]"
"Armenia"," 1987","55.41 [50.09-61.24]","60.66 [54.6-67.47]","49.89 [44.79-55.54]","4 712 [4 262-5 205]","2 656 [2 394-2 954]","2 056 [1 848-2 289]"
"Armenia"," 1986","57.71 [52.11-63.88]","63.09 [56.63-70.29]","52.03 [46.58-58.02]","4 961 [4 483-5 486]","2 793 [2 510-3 109]","2 168 [1 943-2 416]"
"Armenia"," 1985","60.1 [54.03-66.65]","65.67 [58.78-73.3]","54.18 [48.4-60.56]","5 190 [4 671-5 748]","2 922 [2 618-3 257]","2 268 [2 028-2 533]"
"Armenia"," 1984","62.59 [56.05-69.66]","68.29 [60.96-76.42]","56.51 [50.39-63.39]","5 342 [4 792-5 936]","3 004 [2 684-3 355]","2 338 [2 087-2 619]"
"Armenia"," 1983","65.14 [58.08-72.8]","71.02 [63.08-79.84]","58.95 [52.18-66.38]","5 400 [4 823-6 025]","3 032 [2 699-3 404]","2 368 [2 100-2 662]"
"Armenia"," 1982","67.85 [60.28-76.23]","73.93 [65.39-83.51]","61.48 [54.16-69.58]","5 453 [4 853-6 115]","3 060 [2 712-3 451]","2 393 [2 113-2 706]"
"Armenia"," 1981","70.67 [62.42-79.98]","76.83 [67.65-87.53]","64.11 [56.13-73.02]","5 527 [4 889-6 240]","3 097 [2 732-3 520]","2 430 [2 132-2 762]"
"Armenia"," 1980","73.65 [64.51-83.96]","80.01 [69.79-91.62]","66.96 [58.12-76.87]","","",""
"Armenia"," 1979","76.77 [66.6-88.28]","83.2 [71.98-96.11]","69.88 [60.23-80.94]","","",""
"Armenia"," 1978","80 [68.63-92.94]","86.57 [74.02-101.09]","72.94 [62.19-85.18]","","",""
