"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Antigua and Barbuda"," 1967","43.35 [40.04-46.98]","46.19 [42.43-50.33]","40.38 [37-44]","83 [76-89]","45 [41-49]","38 [35-41]"
"Antigua and Barbuda"," 1966","48.62 [45.09-52.39]","51.65 [47.65-56.06]","45.41 [41.75-49.34]","94 [88-102]","51 [47-55]","43 [40-47]"
"Antigua and Barbuda"," 1965","54.49 [50.79-58.47]","57.69 [53.47-62.28]","51.09 [47.17-55.2]","107 [100-115]","57 [53-62]","50 [46-53]"
"Antigua and Barbuda"," 1964","60.79 [56.95-64.92]","64.2 [59.76-68.93]","57.23 [53.14-61.58]","120 [112-128]","64 [60-69]","56 [52-60]"
"Antigua and Barbuda"," 1963","67.37 [63.45-71.57]","70.91 [66.34-75.78]","63.65 [59.37-68.16]","132 [124-140]","71 [66-75]","61 [57-66]"
"Antigua and Barbuda"," 1962","73.97 [69.97-78.19]","77.67 [72.97-82.56]","70.07 [65.66-74.73]","143 [136-151]","76 [72-81]","67 [63-71]"
"Antigua and Barbuda"," 1961","80.41 [76.29-84.67]","84.15 [79.29-89.22]","76.4 [71.79-81.28]","154 [146-162]","82 [77-87]","72 [68-76]"
"Antigua and Barbuda"," 1960","86.28 [82.2-90.67]","90.18 [85.24-95.43]","82.21 [77.5-87.3]","163 [155-171]","87 [82-91]","76 [72-81]"
"Antigua and Barbuda"," 1959","91.55 [87.22-96.12]","95.54 [90.39-101.04]","87.31 [82.42-92.52]","170 [162-178]","90 [85-95]","80 [75-85]"
"Antigua and Barbuda"," 1958","95.86 [91.35-100.57]","99.91 [94.5-105.55]","91.66 [86.45-96.96]","175 [167-184]","92 [88-98]","83 [78-87]"
"Antigua and Barbuda"," 1957","99.41 [94.67-104.28]","103.45 [97.85-109.36]","95.22 [89.8-100.73]","179 [170-188]","95 [89-100]","84 [80-89]"
"Antigua and Barbuda"," 1956","102.57 [97.61-107.68]","106.54 [100.76-112.65]","98.36 [92.73-104.14]","182 [173-191]","96 [91-101]","86 [81-91]"
"Antigua and Barbuda"," 1955","105.58 [100.55-110.78]","109.5 [103.55-115.8]","101.5 [95.79-107.44]","184 [175-193]","97 [92-102]","87 [82-92]"
