"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Afghanistan"," 1971","296.4 [262.06-337.29]","302.93 [266.76-345.44]","289.51 [255.29-330.32]","157 792 [139 985-179 066]","82 547 [72 803-93 909]","75 245 [66 505-85 728]"
"Afghanistan"," 1970","301.85 [266.58-342.76]","308.47 [271.42-351.47]","294.96 [259.88-335.87]","156 757 [138 784-177 543]","81 981 [72 297-93 111]","74 776 [66 031-84 970]"
"Afghanistan"," 1969","307.24 [271.41-348.39]","313.93 [276.07-357.14]","300.38 [264.22-341.59]","155 704 [137 854-176 106]","81 397 [71 807-92 443]","74 307 [65 520-84 363]"
"Afghanistan"," 1968","312.83 [275.97-354.48]","319.47 [280.73-362.93]","305.59 [268.7-347.83]","154 615 [136 720-174 716]","80 838 [71 204-91 674]","73 777 [64 952-83 831]"
"Afghanistan"," 1967","318.37 [280.77-360.79]","325.12 [285.52-369.5]","311 [273.22-353.25]","","",""
"Afghanistan"," 1966","323.94 [285.29-367.07]","330.99 [289.85-376.4]","316.2 [277.29-359.92]","","",""
"Afghanistan"," 1965","329.42 [289.14-374.02]","336.52 [294.35-382.99]","321.56 [281.37-366.69]","","",""
"Afghanistan"," 1964","334.85 [293.41-381.63]","342.12 [298.24-391.06]","326.93 [285.3-374.32]","","",""
"Afghanistan"," 1963","340.16 [296.75-389.97]","347.67 [301.83-400.04]","331.86 [288.42-382.56]","","",""
"Afghanistan"," 1962","345.84 [299.2-399.37]","","","","",""
"Afghanistan"," 1961","351.66 [301.44-410.5]","","","","",""
"Afghanistan"," 1960","357.3 [301.91-422.59]","","","","",""
"Afghanistan"," 1959","363.44 [301.79-436.32]","","","","",""
"Afghanistan"," 1958","369.63 [300.49-450.55]","","","","",""
"Afghanistan"," 1957","375.91 [298-466.92]","","","","",""
