"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Australia"," 1976","16.22 [15.91-16.56]","18.17 [17.77-18.59]","14.18 [13.84-14.52]","3 796 [3 723-3 874]","2 182 [2 136-2 234]","1 614 [1 576-1 653]"
"Australia"," 1975","17.31 [16.98-17.65]","19.45 [19.04-19.88]","15.06 [14.71-15.43]","4 195 [4 116-4 279]","2 420 [2 370-2 475]","1 775 [1 734-1 818]"
"Australia"," 1974","18.41 [18.05-18.78]","20.71 [20.27-21.17]","15.99 [15.61-16.38]","4 634 [4 544-4 728]","2 675 [2 619-2 736]","1 959 [1 912-2 007]"
"Australia"," 1973","19.43 [19.06-19.82]","21.84 [21.38-22.32]","16.89 [16.51-17.3]","5 095 [4 997-5 198]","2 936 [2 874-3 001]","2 159 [2 110-2 210]"
"Australia"," 1972","20.3 [19.91-20.7]","22.81 [22.33-23.31]","17.66 [17.26-18.08]","5 485 [5 382-5 593]","3 157 [3 091-3 227]","2 328 [2 274-2 383]"
"Australia"," 1971","20.98 [20.58-21.4]","23.5 [23.01-24.03]","18.33 [17.91-18.75]","5 498 [5 391-5 607]","3 155 [3 088-3 225]","2 343 [2 289-2 397]"
"Australia"," 1970","21.46 [21.06-21.87]","24.1 [23.59-24.61]","18.68 [18.26-19.11]","5 319 [5 222-5 421]","3 062 [2 998-3 128]","2 257 [2 206-2 308]"
"Australia"," 1969","21.74 [21.33-22.17]","24.36 [23.83-24.89]","18.99 [18.57-19.45]","5 208 [5 108-5 311]","2 993 [2 929-3 059]","2 215 [2 165-2 268]"
"Australia"," 1968","21.89 [21.47-22.31]","24.45 [23.93-24.99]","19.19 [18.76-19.63]","5 049 [4 954-5 147]","2 895 [2 834-2 959]","2 154 [2 106-2 204]"
"Australia"," 1967","21.97 [21.54-22.39]","24.53 [23.99-25.06]","19.28 [18.83-19.73]","4 926 [4 830-5 020]","2 824 [2 763-2 885]","2 102 [2 053-2 151]"
"Australia"," 1966","22.1 [21.66-22.54]","24.65 [24.1-25.19]","19.42 [18.96-19.88]","4 906 [4 809-5 003]","2 811 [2 749-2 873]","2 095 [2 047-2 146]"
"Australia"," 1965","22.35 [21.92-22.78]","24.89 [24.35-25.42]","19.68 [19.23-20.15]","5 011 [4 912-5 107]","2 866 [2 805-2 929]","2 145 [2 096-2 195]"
"Australia"," 1964","22.71 [22.27-23.17]","25.26 [24.71-25.82]","20.04 [19.59-20.52]","5 206 [5 105-5 310]","2 975 [2 912-3 042]","2 231 [2 181-2 285]"
"Australia"," 1963","23.18 [22.74-23.64]","25.76 [25.22-26.32]","20.47 [20.01-20.94]","5 378 [5 276-5 484]","3 070 [3 007-3 138]","2 308 [2 257-2 361]"
